source_name,source_type,source_url_or_kaggle_dataset,license,public_accessibility,cost,date_added,used_for_training_or_inference,used_by_experiment_id,provenance_status,compliance_notes
rishikeshjani/perch-onnx-for-birdclef-2026,kaggle_dataset,kaggle_dataset:rishikeshjani/perch-onnx-for-birdclef-2026,CC0-1.0,public Kaggle dataset,free_or_kaggle_access,2026-05-18,inference,v89-attributed-alexycactus-perch-cnn,PASS-provenance,Metadata captured under experiments/provenance/v89 and used by v89 no-internet wheel path.
google/bird-vocalization-classifier,kaggle_model,kaggle_model:google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1,Apache 2.0,public Kaggle model,free_or_kaggle_access,2026-05-18,inference,v89-attributed-alexycactus-perch-cnn,PASS-provenance,Metadata captured under experiments/provenance/v89.
alexycactus/birdclef-2026-cnn-fold-checkpoints,kaggle_dataset,kaggle:alexycactus/birdclef-2026-cnn-fold-checkpoints,CC0-1.0,public Kaggle dataset,free_or_kaggle_access,2026-05-18,inference,v89-attributed-alexycactus-perch-cnn,PASS-provenance,Metadata captured under experiments/provenance/v89; v89 is HOLD-as-source and not submit-eligible as-is.
tuckerarrants/bc2026-distilled-sed-public,kaggle_dataset,kaggle_dataset:tuckerarrants/bc2026-distilled-sed-public,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,HOLD-license-audit,metadata fetched for v88 provenance audit
baiyuby/birdclef2026-distill-models,kaggle_dataset,kaggle_dataset:baiyuby/birdclef2026-distill-models,CC0-1.0,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,PASS-provenance,metadata fetched for v88 provenance audit
tonylica/birdclef-2026-model,kaggle_dataset,kaggle_dataset:tonylica/birdclef-2026-model,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,HOLD-license-audit,metadata fetched for v88 provenance audit
alexanterkapai/birdclef-2026-models,kaggle_dataset,kaggle_dataset:alexanterkapai/birdclef-2026-models,apache-2.0,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,PASS-provenance,metadata fetched for v88 provenance audit
pulkitsahu89/birdtransform-birdclef-2026-transformer-model,kaggle_dataset,kaggle_dataset:pulkitsahu89/birdtransform-birdclef-2026-transformer-model,MIT,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,PASS-provenance,metadata fetched for v88 provenance audit
jaejohn/perch-meta,kaggle_dataset,kaggle_dataset:jaejohn/perch-meta,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,HOLD-license-audit,metadata fetched for v88 provenance audit
tuckerarrants/perch-v2-no-dft-onnx,kaggle_dataset,kaggle_dataset:tuckerarrants/perch-v2-no-dft-onnx,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,HOLD-license-audit,metadata fetched for v88 provenance audit
rishikeshjani/perch-onnx-for-birdclef-2026,kaggle_dataset,kaggle_dataset:rishikeshjani/perch-onnx-for-birdclef-2026,CC0-1.0,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,PASS-provenance,metadata fetched for v88 provenance audit
ashok205/tf-wheels,kaggle_kernel_source,kaggle_kernel_source:ashok205/tf-wheels,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,HOLD-license-audit,metadata fetched for v88 provenance audit
shadiakiki1/birdnet-analyzer,kaggle_model,kaggle_model:shadiakiki1/birdnet-analyzer/TfLite/birdnet_global_6k_v2.4_model_fp32-1/3,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,HOLD-license-audit,metadata fetched for v88 provenance audit
google/bird-vocalization-classifier,kaggle_model,kaggle_model:google/bird-vocalization-classifier/TensorFlow2/perch_v2_cpu/1,Apache 2.0,public_or_accessible,free_or_kaggle_access,2026-05-18,inference,v88-attributed-zeyad-eos-parity-t3,PASS-provenance,metadata fetched for v88 provenance audit
tuckerarrants/bc2026-distilled-sed-public,kaggle_dataset,kaggle_dataset:tuckerarrants/bc2026-distilled-sed-public,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v91-attributed-youssef-e1-rare-tail-nobirdnet,HOLD-license-audit,metadata fetched under experiments/provenance/v90; public Kaggle dataset used by public reference
jaejohn/perch-meta,kaggle_dataset,kaggle_dataset:jaejohn/perch-meta,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v91-attributed-youssef-e1-rare-tail-nobirdnet,HOLD-license-audit,metadata fetched under experiments/provenance/v90; public Kaggle dataset used by public reference
tuckerarrants/perch-v2-no-dft-onnx,kaggle_dataset,kaggle_dataset:tuckerarrants/perch-v2-no-dft-onnx,UNKNOWN,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v91-attributed-youssef-e1-rare-tail-nobirdnet,HOLD-license-audit,metadata fetched under experiments/provenance/v90; public Kaggle dataset used by public reference
rishikeshjani/perch-onnx-for-birdclef-2026,kaggle_dataset,kaggle_dataset:rishikeshjani/perch-onnx-for-birdclef-2026,CC0-1.0,public_or_accessible,free_or_kaggle_access,2026-05-19,inference,v91-attributed-youssef-e1-rare-tail-nobirdnet,PASS-provenance,metadata fetched under experiments/provenance/v90
